frame,rvec_x,rvec_y,rvec_z,tvec_x,tvec_y,tvec_z
0,1.5489451822397962,-0.04857941357308603,0.04777249812644988,-942.1003704893883,1613.981172940602,2725.199639709152
1,1.5491486233697305,-0.04809175943760516,0.047137720999998314,-947.5150346392958,1633.029094765377,2724.9815690280475
2,1.5475054631741316,-0.04154296642889511,0.04253291045549217,-991.5874907072366,1647.3784239990948,2708.590027586454
3,1.550720993180913,-0.046599856383374855,0.04512963912881598,-963.4766238369349,1673.9378973352111,2721.448676424038
4,1.5512534950911783,-0.04622011696115986,0.044530870220241395,-967.7451339235968,1693.9127370207398,2722.316459785442
5,1.550834394398605,-0.043645015926924824,0.04197394393483947,-985.9399511919864,1713.0100238745363,2718.279625574476
6,1.549892518964956,-0.04272372115941727,0.04154987998242714,-993.2176659037029,1732.2302437282372,2715.145881828806
7,1.5497773204002325,-0.042924619595257854,0.04079416957022356,-993.7477784123986,1754.1450982160954,2715.415279280829
8,1.5495897988816258,-0.04356602467117151,0.039771484839776175,-992.3548982262283,1776.8658061969488,2715.8360042712316
9,1.5511118172382452,-0.04768303665103263,0.04255597948962307,-970.2511104350407,1800.9674772731391,2723.3279811541793
10,1.5497004818378362,-0.04371039685012044,0.03908212728792765,-995.3005854834854,1819.0858896825407,2716.4240107119435
11,1.551400226527109,-0.04761037154294011,0.042371621356241354,-972.2184397244258,1842.547746078393,2724.544804985384
12,1.5516827367198434,-0.04713277264059584,0.04225347548610158,-975.091023075342,1862.254864816023,2724.9116208738437
13,1.5521485979427685,-0.04777628211939486,0.04274638561411122,-971.9741539696939,1880.358910499004,2726.0844109278187
14,1.5533704677631848,-0.038877476924903065,0.031440568088979944,-966.1228496163561,1908.267335124781,2801.9257919249294
15,1.5523596946521963,-0.043943844217857686,0.039294322739125226,-997.9263509686051,1918.5496241152073,2722.055806589752
16,1.5535435210752016,-0.047695730199226585,0.04337676172115103,-975.5225189195394,1940.1008937880026,2729.208253361575
17,1.55290086641057,-0.043413611151426945,0.0398931412458798,-1002.5254479872409,1958.8356390221265,2723.532199430029
18,1.5536256508276685,-0.04308446290669166,0.039525799782719605,-1007.3530639303228,1980.3029371600694,2725.6260804733547
19,1.5536693175663019,-0.04623934252827673,0.04268942329372061,-987.4338711225953,2003.2930466624002,2729.3077762363123
20,1.5535695777946097,-0.04631111241324833,0.04258781601586364,-987.1430247281811,2024.3224694015773,2729.48944090002
